Region,time,residual
HSE West and North West,80,2.4563
HSE Dublin and Midlands,81,-1.637
HSE Dublin and North East,81,-7.2114
HSE Dublin and South East,81,-1.457
HSE Mid West,81,5.9801
HSE South West,81,-0.0655
HSE West and North West,81,3.8242
HSE Dublin and Midlands,82,-5.6029
HSE Dublin and North East,82,-2.8024
HSE Dublin and South East,82,-3.2575
HSE Mid West,82,6.5126
HSE South West,82,1.2526
HSE West and North West,82,3.3069
HSE Dublin and Midlands,83,-2.1192
HSE Dublin and North East,83,-4.4502
HSE Dublin and South East,83,-3.0806
HSE Mid West,83,5.4589
HSE South West,83,1.4179
HSE West and North West,83,-2.9297
HSE Dublin and Midlands,84,-5.2895
HSE Dublin and North East,84,-2.3119
HSE Dublin and South East,84,-0.958
HSE Mid West,84,4.9245
HSE South West,84,-7.2872
HSE West and North West,84,2.57
HSE Dublin and Midlands,85,-2.7404
HSE Dublin and North East,85,-0.1996
HSE Dublin and South East,85,-1.066
HSE Mid West,85,3.1872
HSE South West,85,-1.5384
HSE West and North West,85,-1.8809
HSE Dublin and Midlands,86,0.3748
HSE Dublin and North East,86,-2.1538
HSE Dublin and South East,86,-6.8584
HSE Mid West,86,0.6897
HSE South West,86,-4.7592
HSE West and North West,86,2.2739
HSE Dublin and Midlands,87,-1.0396
HSE Dublin and North East,87,-6.9358
HSE Dublin and South East,87,-2.0308
HSE Mid West,87,-5.1911
HSE South West,87,-1.6296
HSE West and North West,87,2.9161
HSE Dublin and Midlands,88,-5.1418
HSE Dublin and North East,88,-2.9042
HSE Dublin and South East,88,-2.3948
HSE Mid West,88,0.0431
HSE South West,88,0.4903
HSE West and North West,88,2.2168
HSE Dublin and Midlands,89,-3.339
HSE Dublin and North East,89,-3.2408
HSE Dublin and South East,89,-1.4522
HSE Mid West,89,2.5231
HSE South West,89,-0.3608
HSE West and North West,89,-3.9581
HSE Dublin and Midlands,90,-6.0367
HSE Dublin and North East,90,-2.5841
HSE Dublin and South East,90,0.9043
HSE Mid West,90,2.7204
HSE South West,90,-3.9957
HSE West and North West,90,1.6386
HSE Dublin and Midlands,91,-1.2091
HSE Dublin and North East,91,-0.1293
HSE Dublin and South East,91,0.4801
HSE Mid West,91,0.13
HSE South West,91,0.8228
HSE West and North West,91,-0.6185
HSE Dublin and Midlands,92,1.0555
HSE Dublin and North East,92,-0.1721
HSE Dublin and South East,92,-6.5644
HSE Mid West,92,3.049
HSE South West,92,-2.3431
HSE West and North West,92,4.2051
HSE Dublin and Midlands,93,1.5562
HSE Dublin and North East,93,-5.9143
HSE Dublin and South East,93,-1.2115
HSE Mid West,93,3.8019
HSE South West,93,1.7249
HSE West and North West,93,5.0072
HSE Dublin and Midlands,94,-4.0633
HSE Dublin and North East,94,-3.3635
HSE Dublin and South East,94,-2.5638
HSE Mid West,94,5.481
HSE South West,94,1.728
HSE West and North West,94,3.4944
HSE Dublin and Midlands,95,-2.0564
HSE Dublin and North East,95,-3.0748
HSE Dublin and South East,95,-1.047
HSE Mid West,95,5.8272
HSE South West,95,0.4771
HSE West and North West,95,-3.1701
HSE Dublin and Midlands,96,-5.163
HSE Dublin and North East,96,-2.4362
HSE Dublin and South East,96,0.1086
HSE Mid West,96,3.3975
HSE South West,96,-5.3826
HSE West and North West,96,0.6929
HSE Dublin and Midlands,97,-1.8504
HSE Dublin and North East,97,0.3668
HSE Dublin and South East,97,-0.9518
HSE Mid West,97,1.9507
HSE South West,97,0.031
HSE West and North West,97,-2.0583
HSE Dublin and Midlands,98,1.7383
HSE Dublin and North East,98,0.0586
HSE Dublin and South East,98,-6.3301
HSE Mid West,98,6.3338
HSE South West,98,-1.5266
HSE West and North West,98,3.8972
HSE Dublin and Midlands,99,0.7327
HSE Dublin and North East,99,-6.7075
HSE Dublin and South East,99,-1.0779
HSE Mid West,99,3.2107
HSE South West,99,-0.1023
HSE West and North West,99,4.5974
HSE Dublin and Midlands,100,-4.1207
HSE Dublin and North East,100,-2.0414
HSE Dublin and South East,100,-2.4149
HSE Mid West,100,6.4726
HSE South West,100,1.8644
HSE West and North West,100,2.96
HSE Dublin and Midlands,101,-0.9155
HSE Dublin and North East,101,-2.1135
HSE Dublin and South East,101,-0.3782
HSE Mid West,101,6.0488
HSE South West,101,2.7025
HSE West and North West,101,-2.1371
HSE Dublin and Midlands,102,-3.6469
HSE Dublin and North East,102,-1.2555
HSE Dublin and South East,102,2.0228
HSE Mid West,102,7.2162
HSE South West,102,-2.7957
HSE West and North West,102,1.9575
HSE Dublin and Midlands,103,-0.3101
HSE Dublin and North East,103,1.0097
HSE Dublin and South East,103,0.293
HSE Mid West,103,1.1174
HSE South West,103,-0.4853
HSE West and North West,103,-2.0147
HSE Dublin and Midlands,104,2.7105
HSE Dublin and North East,104,-0.2443
HSE Dublin and South East,104,-6.5431
HSE Mid West,104,5.8288
HSE South West,104,-0.0998
HSE West and North West,104,2.7935
HSE Dublin and Midlands,105,-2.184
HSE Dublin and North East,105,-7.2144
HSE Dublin and South East,105,-3.8707
HSE Mid West,105,-1.6777
HSE South West,105,-1.9836
HSE West and North West,105,0.6077
HSE Dublin and Midlands,106,-4.3991
HSE Dublin and North East,106,-3.4281
HSE Dublin and South East,106,-3.1653
HSE Mid West,106,6.8055
HSE South West,106,2.8146
HSE West and North West,106,3.7787
HSE Dublin and Midlands,107,-0.2121
HSE Dublin and North East,107,-2.8414
HSE Dublin and South East,107,-1.2721
HSE Mid West,107,8.7136
HSE South West,107,5.3779
HSE West and North West,107,-0.4531
HSE Dublin and Midlands,108,-3.0718
HSE Dublin and North East,108,-1.0762
HSE Dublin and South East,108,1.0872
HSE Mid West,108,7.6704
HSE South West,108,-2.0658
HSE West and North West,108,4.631
HSE Dublin and Midlands,109,-1.5568
HSE Dublin and North East,109,1.1601
HSE Dublin and South East,109,1.9072
HSE Mid West,109,-0.2579
HSE South West,109,1.9293
HSE West and North West,109,1.6529
HSE Dublin and Midlands,110,2.5301
HSE Dublin and North East,110,0.9786
HSE Dublin and South East,110,-4.7196
HSE Mid West,110,4.4022
HSE South West,110,0.2434
HSE West and North West,110,7.2813
HSE Dublin and Midlands,111,0.0331
HSE Dublin and North East,111,-4.2612
HSE Dublin and South East,111,-0.6682
HSE Mid West,111,2.7091
HSE South West,111,1.829
HSE West and North West,111,7.6814
HSE Dublin and Midlands,112,-4.0681
HSE Dublin and North East,112,-1.0604
HSE Dublin and South East,112,-5.2799
HSE Mid West,112,4.3999
HSE South West,112,1.472
HSE West and North West,112,4.5294
HSE Dublin and Midlands,113,-0.7473
HSE Dublin and North East,113,-1.9242
HSE Dublin and South East,113,-0.8365
HSE Mid West,113,7.8312
HSE South West,113,2.4905
HSE West and North West,113,-1.2757
HSE Dublin and Midlands,114,-2.4899
HSE Dublin and North East,114,-2.1141
HSE Dublin and South East,114,0.0322
HSE Mid West,114,6.6183
HSE South West,114,-3.3377
HSE West and North West,114,4.1229
HSE Dublin and Midlands,115,-2.0948
HSE Dublin and North East,115,-0.7925
HSE Dublin and South East,115,-0.2803
HSE Mid West,115,0.5189
HSE South West,115,-0.6162
HSE West and North West,115,1.8242
HSE Dublin and Midlands,116,0.7722
HSE Dublin and North East,116,-1.4761
HSE Dublin and South East,116,-7.0663
HSE Mid West,116,3.7261
HSE South West,116,-3.3975
HSE West and North West,116,3.3572
HSE Dublin and Midlands,117,-1.6368
HSE Dublin and North East,117,-6.7907
HSE Dublin and South East,117,-1.5557
HSE Mid West,117,0.1939
HSE South West,117,0.2081
HSE West and North West,117,1.6153
HSE Dublin and Midlands,118,-5.4555
HSE Dublin and North East,118,-2.6065
HSE Dublin and South East,118,-4.8301
HSE Mid West,118,5.8892
HSE South West,118,3.0586
HSE West and North West,118,3.3132
HSE Dublin and Midlands,119,-2.6774
HSE Dublin and North East,119,-2.7398
HSE Dublin and South East,119,-1.9774
HSE Mid West,119,5.0682
HSE South West,119,2.0844
HSE West and North West,119,-4.6727
HSE Dublin and Midlands,120,-4.6054
HSE Dublin and North East,120,-3.8634
HSE Dublin and South East,120,-0.865
HSE Mid West,120,4.1886
HSE South West,120,-5.683
HSE West and North West,120,-0.1435
HSE Dublin and Midlands,121,-2.1234
HSE Dublin and North East,121,-0.5029
HSE Dublin and South East,121,-1.3649
HSE Mid West,121,0.8313
HSE South West,121,-0.63
HSE West and North West,121,-0.8002
HSE Dublin and Midlands,122,1.5309
HSE Dublin and North East,122,-1.9957
HSE Dublin and South East,122,-7.657
HSE Mid West,122,5.9129
HSE South West,122,-2.5079
HSE West and North West,122,2.5883
HSE Dublin and Midlands,123,-1.2549
HSE Dublin and North East,123,-5.8189
HSE Dublin and South East,123,-2.0075
HSE Mid West,123,2.6172
HSE South West,123,-1.88
HSE West and North West,123,2.6059
HSE Dublin and Midlands,124,-5.5328
HSE Dublin and North East,124,-4.4652
HSE Dublin and South East,124,-2.8293
HSE Mid West,124,5.0595
HSE South West,124,0.4555
HSE West and North West,124,2.447
HSE Dublin and Midlands,125,-2.6855
HSE Dublin and North East,125,-4.9545
HSE Dublin and South East,125,-1.7746
HSE Mid West,125,6.6914
HSE South West,125,0.3665
HSE West and North West,125,-0.9262
HSE Dublin and Midlands,126,-4.8937
HSE Dublin and North East,126,-4.3091
HSE Dublin and South East,126,0.364
HSE Mid West,126,5.7525
HSE South West,126,-6.5304
HSE West and North West,126,-0.3966
HSE Dublin and Midlands,127,-1.5942
HSE Dublin and North East,127,-1.1128
HSE Dublin and South East,127,-0.5731
HSE Mid West,127,1.5049
HSE South West,127,-1.2763
HSE West and North West,127,-0.8289
HSE Dublin and Midlands,128,-0.3971
HSE Dublin and North East,128,-1.8772
HSE Dublin and South East,128,-5.9065
HSE Mid West,128,4.5922
HSE South West,128,-3.2557
HSE West and North West,128,3.6256
HSE Dublin and Midlands,129,-0.4014
HSE Dublin and North East,129,-6.2478
HSE Dublin and South East,129,-3.0083
HSE Mid West,129,3.1247
HSE South West,129,-2.1225
HSE West and North West,129,4.657
HSE Dublin and Midlands,130,-4.1099
HSE Dublin and North East,130,-4.0628
HSE Dublin and South East,130,-2.9696
HSE Mid West,130,3.1946
HSE South West,130,0.9936
HSE West and North West,130,2.7836
HSE Dublin and Midlands,131,-2.4484
HSE Dublin and North East,131,-5.2443
HSE Dublin and South East,131,-1.4006
HSE Mid West,131,6.855
HSE South West,131,1.2885
HSE West and North West,131,0.8188
HSE Dublin and Midlands,132,-4.5832
HSE Dublin and North East,132,-3.7693
HSE Dublin and South East,132,-0.5019
HSE Mid West,132,6.2581
HSE South West,132,-6.3251
HSE West and North West,132,0.216
HSE Dublin and Midlands,133,-2.4756
HSE Dublin and North East,133,-1.5416
HSE Dublin and South East,133,-0.3688
HSE Mid West,133,-1.8623
HSE South West,133,0.2793
HSE West and North West,133,-0.6787
HSE Dublin and Midlands,134,-0.3374
HSE Dublin and North East,134,-2.2047
HSE Dublin and South East,134,-5.5337
HSE Mid West,134,4.0807
HSE South West,134,-3.3536
HSE West and North West,134,4.5428
HSE Dublin and Midlands,135,-1.1635
HSE Dublin and North East,135,-7.2464
HSE Dublin and South East,135,-0.6652
HSE Mid West,135,3.3609
HSE South West,135,0.3484
HSE West and North West,135,5.3134
HSE Dublin and Midlands,136,-6.6995
HSE Dublin and North East,136,-4.9388
HSE Dublin and South East,136,-3.7624
HSE Mid West,136,5.77
HSE South West,136,1.6688
HSE West and North West,136,3.8419
HSE Dublin and Midlands,137,-2.7317
HSE Dublin and North East,137,-5.6002
HSE Dublin and South East,137,-2.0683
HSE Mid West,137,3.7561
HSE South West,137,0.2935
HSE West and North West,137,1.0046
HSE Dublin and Midlands,138,-4.2799
HSE Dublin and North East,138,-2.6642
