"week_start","hospital","region","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week"
2023-01-30,MRH Portlaoise,HSE Dublin and Midlands,7,0,7,0,49,2,0,7
2023-01-30,MRH Tullamore,HSE Dublin and Midlands,0,0,0,38,33,0,0,7
2023-01-30,Naas General Hospital,HSE Dublin and Midlands,67,15,82,26,94,6,0,7
2023-01-30,St. James's Hospital,HSE Dublin and Midlands,90,0,90,0,446,4,0,7
2023-01-30,Tallaght University Hospital,HSE Dublin and Midlands,99,0,99,12,322,30,0,7
2023-01-30,Beaumont Hospital,HSE Dublin and North East,17,0,17,0,134,0,0,7
2023-01-30,Cavan General Hospital,HSE Dublin and North East,12,2,14,23,30,0,0,7
2023-01-30,Connolly Hospital,HSE Dublin and North East,6,0,6,76,56,0,0,7
2023-01-30,Mater Misericordiae University Hospital,HSE Dublin and North East,140,0,140,0,321,7,0,7
2023-01-30,Our Lady of Lourdes Hospital,HSE Dublin and North East,23,3,26,64,152,0,0,7
2023-01-30,Our Lady's Hospital Navan,HSE Dublin and North East,2,0,2,103,36,0,0,7
2023-01-30,St Luke's General Hospital Kilkenny,HSE Dublin and South East,74,17,91,140,69,40,0,7
2023-01-30,St. Vincent's University Hospital,HSE Dublin and South East,33,0,33,150,272,4,0,7
2023-01-30,Tipperary University Hospital,HSE Dublin and South East,112,0,112,90,69,48,0,7
2023-01-30,UH Waterford,HSE Dublin and South East,0,0,0,342,197,0,0,7
2023-01-30,Wexford General Hospital,HSE Dublin and South East,41,37,78,73,52,16,0,7
2023-01-30,UH Limerick,HSE Mid West,57,163,220,271,116,9,0,7
2023-01-30,Cork University Hospital,HSE South West,168,15,183,164,329,18,0,7
2023-01-30,Mercy University Hospital,HSE South West,100,0,100,46,142,20,0,7
2023-01-30,UH Kerry,HSE South West,100,0,100,43,101,29,0,7
2023-01-30,Galway University Hospital,HSE West and North West,99,36,135,69,137,13,0,7
2023-01-30,Letterkenny University Hospital,HSE West and North West,58,14,72,11,120,10,0,7
2023-01-30,Mayo University Hospital,HSE West and North West,26,39,65,15,72,14,0,7
2023-01-30,Portiuncula University Hospital,HSE West and North West,54,0,54,52,37,10,0,7
2023-01-30,Sligo University Hospital,HSE West and North West,70,66,136,58,79,42,0,7
2023-02-06,CHI at Crumlin,HSE Dublin and Midlands,61,0,61,0,14,3,0,7
2023-02-06,CHI at Tallaght,HSE Dublin and Midlands,6,0,6,0,7,0,0,7
2023-02-06,CHI at Temple Street,HSE Dublin and Midlands,43,0,43,0,16,3,0,7
2023-02-06,MRH Mullingar,HSE Dublin and Midlands,76,0,76,11,8,8,0,7
2023-02-06,MRH Portlaoise,HSE Dublin and Midlands,8,0,8,0,60,0,0,7
2023-02-06,MRH Tullamore,HSE Dublin and Midlands,1,0,1,34,45,0,0,7
2023-02-06,Naas General Hospital,HSE Dublin and Midlands,38,19,57,19,92,1,0,7
2023-02-06,St. James's Hospital,HSE Dublin and Midlands,154,0,154,0,437,13,0,7
2023-02-06,Tallaght University Hospital,HSE Dublin and Midlands,160,0,160,30,302,36,0,7
2023-02-06,Beaumont Hospital,HSE Dublin and North East,18,0,18,52,95,0,0,7
2023-02-06,Cavan General Hospital,HSE Dublin and North East,11,2,13,31,21,0,0,7
2023-02-06,Connolly Hospital,HSE Dublin and North East,6,2,8,124,56,0,0,7
2023-02-06,Mater Misericordiae University Hospital,HSE Dublin and North East,148,0,148,0,287,13,0,7
2023-02-06,Our Lady of Lourdes Hospital,HSE Dublin and North East,4,1,5,59,143,0,0,7
2023-02-06,Our Lady's Hospital Navan,HSE Dublin and North East,17,0,17,109,37,0,0,7
2023-02-06,St Luke's General Hospital Kilkenny,HSE Dublin and South East,64,28,92,112,60,41,0,7
