"week_start","region","region_population","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week","trolleys_per_10k"
2023-10-09,HSE Mid West,413059,154,207,361,336,99,52,5,7,8.7397
2023-10-09,HSE South West,740614,345,60,405,298,648,52,14,7,5.4684
2023-10-09,HSE West and North West,759652,259,198,457,295,598,141,0,7,6.0159
2023-10-16,HSE Dublin and Midlands,1077639,440,44,484,265,933,73,5,7,4.4913
2023-10-16,HSE Dublin and North East,1187082,244,10,254,180,424,21,9,7,2.1397
2023-10-16,HSE Dublin and South East,971093,221,63,284,663,604,57,4,7,2.9245
2023-10-16,HSE Mid West,413059,149,241,390,313,124,39,6,7,9.4418
2023-10-16,HSE South West,740614,307,53,360,289,644,44,11,7,4.8608
2023-10-16,HSE West and North West,759652,235,175,410,264,560,146,7,7,5.3972
2023-10-23,HSE Dublin and Midlands,1077639,504,42,546,265,977,78,6,7,5.0666
2023-10-23,HSE Dublin and North East,1187082,283,8,291,219,419,11,8,7,2.4514
2023-10-23,HSE Dublin and South East,971093,280,42,322,590,672,69,1,7,3.3159
2023-10-23,HSE Mid West,413059,96,235,331,271,97,37,10,7,8.0134
2023-10-23,HSE South West,740614,348,47,395,293,748,73,13,7,5.3334
2023-10-23,HSE West and North West,759652,276,148,424,277,573,115,0,7,5.5815
2023-10-30,HSE Dublin and Midlands,1077639,612,36,648,317,844,69,13,7,6.0131
2023-10-30,HSE Dublin and North East,1187082,328,11,339,247,342,20,7,7,2.8557
2023-10-30,HSE Dublin and South East,971093,260,40,300,508,549,47,6,7,3.0893
2023-10-30,HSE Mid West,413059,64,222,286,145,86,9,2,7,6.9240
2023-10-30,HSE South West,740614,383,60,443,353,569,80,9,7,5.9815
2023-10-30,HSE West and North West,759652,255,186,441,336,445,127,12,7,5.8053
2023-11-06,HSE Dublin and Midlands,1077639,668,53,721,354,885,141,13,7,6.6906
2023-11-06,HSE Dublin and North East,1187082,337,10,347,282,382,31,15,7,2.9231
2023-11-06,HSE Dublin and South East,971093,325,55,380,698,611,85,9,7,3.9131
2023-11-06,HSE Mid West,413059,101,239,340,228,97,89,2,7,8.2313
2023-11-06,HSE South West,740614,376,60,436,309,568,96,9,7,5.8870
2023-11-06,HSE West and North West,759652,322,181,503,274,479,152,3,7,6.6215
2023-11-13,HSE Dublin and Midlands,1077639,575,62,637,302,831,132,6,7,5.9111
2023-11-13,HSE Dublin and North East,1187082,349,12,361,235,416,29,18,7,3.0411
2023-11-13,HSE Dublin and South East,971093,325,38,363,724,497,83,6,7,3.7381
2023-11-13,HSE Mid West,413059,150,249,399,246,81,118,5,7,9.6596
2023-11-13,HSE South West,740614,389,74,463,347,558,118,4,7,6.2516
2023-11-13,HSE West and North West,759652,292,259,551,306,488,185,4,7,7.2533
2023-11-20,HSE Dublin and Midlands,1077639,480,10,490,288,851,58,2,7,4.5470
2023-11-20,HSE Dublin and North East,1187082,323,11,334,241,408,14,14,7,2.8136
2023-11-20,HSE Dublin and South East,971093,310,26,336,602,519,89,3,7,3.4600
2023-11-20,HSE Mid West,413059,141,224,365,284,86,98,5,7,8.8365
2023-11-20,HSE South West,740614,312,63,375,330,615,82,2,7,5.0634
2023-11-20,HSE West and North West,759652,210,171,381,250,546,114,2,7,5.0155
2023-11-27,HSE Dublin and Midlands,1077639,466,9,475,282,822,13,1,7,4.4078
2023-11-27,HSE Dublin and North East,1187082,272,12,284,276,420,10,7,7,2.3924
2023-11-27,HSE Dublin and South East,971093,332,62,394,695,679,105,18,7,4.0573
2023-11-27,HSE Mid West,413059,112,228,340,198,130,107,8,7,8.2313
2023-11-27,HSE South West,740614,368,81,449,335,617,126,2,7,6.0625
2023-11-27,HSE West and North West,759652,235,154,389,294,606,93,10,7,5.1208
2023-12-04,HSE Dublin and Midlands,1077639,706,9,715,433,733,104,18,7,6.6349
2023-12-04,HSE Dublin and North East,1187082,362,10,372,252,467,17,10,7,3.1337
2023-12-04,HSE Dublin and South East,971093,318,23,341,511,797,78,23,7,3.5115
2023-12-04,HSE Mid West,413059,193,200,393,314,150,118,7,7,9.5144
2023-12-04,HSE South West,740614,299,66,365,285,722,73,1,7,4.9283
2023-12-04,HSE West and North West,759652,354,257,611,394,655,174,2,7,8.0432
2023-12-11,HSE Dublin and Midlands,1077639,622,95,717,516,620,126,18,7,6.6534
2023-12-11,HSE Dublin and North East,1187082,319,10,329,274,397,33,24,7,2.7715
2023-12-11,HSE Dublin and South East,971093,335,43,378,650,808,116,17,7,3.8925
2023-12-11,HSE Mid West,413059,165,252,417,299,170,152,38,7,10.0954
2023-12-11,HSE South West,740614,435,54,489,307,708,110,5,7,6.6026
2023-12-11,HSE West and North West,759652,424,259,683,417,710,234,27,7,8.9910
2023-12-18,HSE Dublin and Midlands,1077639,262,14,276,302,557,20,2,7,2.5612
2023-12-18,HSE Dublin and North East,1187082,107,10,117,144,342,2,1,7,0.9856
2023-12-18,HSE Dublin and South East,971093,215,39,254,491,772,36,12,7,2.6156
2023-12-18,HSE Mid West,413059,81,157,238,131,126,79,12,7,5.7619
2023-12-18,HSE South West,740614,219,22,241,258,580,52,15,7,3.2541
2023-12-18,HSE West and North West,759652,219,160,379,213,622,119,7,7,4.9891
2023-12-25,HSE Dublin and Midlands,1077639,116,1,117,156,444,2,0,7,1.0857
2023-12-25,HSE Dublin and North East,1187082,24,0,24,116,265,0,0,7,0.2022
2023-12-25,HSE Dublin and South East,971093,87,1,88,98,667,1,0,7,0.9062
2023-12-25,HSE Mid West,413059,18,97,115,74,85,9,3,7,2.7841
2023-12-25,HSE South West,740614,146,0,146,157,539,20,0,7,1.9713
2023-12-25,HSE West and North West,759652,121,35,156,133,501,15,0,7,2.0536
2024-01-01,HSE Dublin and Midlands,1077639,421,19,440,525,472,37,12,7,4.0830
2024-01-01,HSE Dublin and North East,1187082,243,5,248,263,269,13,4,7,2.0892
2024-01-01,HSE Dublin and South East,971093,145,14,159,635,646,16,5,7,1.6373
2024-01-01,HSE Mid West,413059,52,240,292,212,96,89,4,7,7.0692
