date,hospital,ed_trolleys,ward_trolleys,total_trolleys
2023-01-17,Naas General Hospital,15,5,20
2023-01-17,Our Lady of Lourdes Hospital,12,2,14
2023-01-17,Our Lady's Hospital Navan,5,0,5
2023-01-17,Portiuncula University Hospital,11,0,11
2023-01-17,Sligo University Hospital,7,12,19
2023-01-17,St Luke's General Hospital Kilkenny,19,8,27
2023-01-17,St. James's Hospital,31,0,31
2023-01-17,St. Vincent's University Hospital,24,0,24
2023-01-17,Tallaght University Hospital,27,0,27
2023-01-17,Tipperary University Hospital,2,0,2
2023-01-17,UH Kerry,20,0,20
2023-01-17,UH Limerick,7,15,22
2023-01-17,UH Waterford,0,0,0
2023-01-17,Wexford General Hospital,5,3,8
2023-01-18,Beaumont Hospital,10,0,10
2023-01-18,CHI at Crumlin,14,0,14
2023-01-18,CHI at Tallaght,0,0,0
2023-01-18,CHI at Temple Street,11,0,11
2023-01-18,Cavan General Hospital,0,1,1
2023-01-18,Connolly Hospital,0,0,0
2023-01-18,Cork University Hospital,29,9,38
2023-01-18,Galway University Hospital,26,10,36
2023-01-18,Letterkenny University Hospital,17,9,26
2023-01-18,MRH Mullingar,11,0,11
2023-01-18,MRH Portlaoise,0,0,0
2023-01-18,MRH Tullamore,0,0,0
2023-01-18,Mater Misericordiae University Hospital,34,0,34
2023-01-18,Mayo University Hospital,5,9,14
2023-01-18,Mercy University Hospital,15,0,15
2023-01-18,Naas General Hospital,17,5,22
2023-01-18,Our Lady of Lourdes Hospital,14,1,15
2023-01-18,Our Lady's Hospital Navan,2,0,2
2023-01-18,Portiuncula University Hospital,7,0,7
2023-01-18,Sligo University Hospital,8,13,21
2023-01-18,St Luke's General Hospital Kilkenny,15,6,21
2023-01-18,St. James's Hospital,31,0,31
2023-01-18,St. Vincent's University Hospital,27,0,27
2023-01-18,Tallaght University Hospital,31,0,31
2023-01-18,Tipperary University Hospital,4,0,4
2023-01-18,UH Kerry,10,0,10
2023-01-18,UH Limerick,9,27,36
2023-01-18,UH Waterford,0,0,0
2023-01-18,Wexford General Hospital,10,4,14
2023-01-19,Beaumont Hospital,15,0,15
2023-01-19,CHI at Crumlin,13,0,13
2023-01-19,CHI at Tallaght,4,0,4
2023-01-19,CHI at Temple Street,8,0,8
2023-01-19,Cavan General Hospital,0,1,1
2023-01-19,Connolly Hospital,0,0,0
2023-01-19,Cork University Hospital,22,9,31
2023-01-19,Galway University Hospital,32,8,40
2023-01-19,Letterkenny University Hospital,11,7,18
2023-01-19,MRH Mullingar,13,0,13
2023-01-19,MRH Portlaoise,1,0,1
2023-01-19,MRH Tullamore,0,0,0
2023-01-19,Mater Misericordiae University Hospital,24,0,24
2023-01-19,Mayo University Hospital,3,9,12
2023-01-19,Mercy University Hospital,23,0,23
2023-01-19,Naas General Hospital,7,4,11
2023-01-19,Our Lady of Lourdes Hospital,4,1,5
2023-01-19,Our Lady's Hospital Navan,3,0,3
2023-01-19,Portiuncula University Hospital,7,0,7
2023-01-19,Sligo University Hospital,5,9,14
2023-01-19,St Luke's General Hospital Kilkenny,12,7,19
2023-01-19,St. James's Hospital,20,0,20
2023-01-19,St. Vincent's University Hospital,30,0,30
2023-01-19,Tallaght University Hospital,31,0,31
2023-01-19,Tipperary University Hospital,6,0,6
2023-01-19,UH Kerry,12,0,12
2023-01-19,UH Limerick,10,19,29
2023-01-19,UH Waterford,0,0,0
2023-01-19,Wexford General Hospital,3,7,10
2023-01-20,Beaumont Hospital,18,0,18
2023-01-20,CHI at Crumlin,15,0,15
2023-01-20,CHI at Tallaght,0,0,0
2023-01-20,CHI at Temple Street,6,0,6
2023-01-20,Cavan General Hospital,1,1,0
2023-01-20,Connolly Hospital,0,0,0
2023-01-20,Cork University Hospital,20,8,28
2023-01-20,Galway University Hospital,22,13,35
2023-01-20,Letterkenny University Hospital,9,6,15
2023-01-20,MRH Mullingar,9,0,9
2023-01-20,MRH Portlaoise,0,0,0
2023-01-20,MRH Tullamore,0,0,0
2023-01-20,Mater Misericordiae University Hospital,24,0,24
2023-01-20,Mayo University Hospital,7,8,15
2023-01-20,Mercy University Hospital,17,0,17
2023-01-20,Naas General Hospital,12,0,12
2023-01-20,Our Lady of Lourdes Hospital,2,2,0
2023-01-20,Our Lady's Hospital Navan,4,0,4
2023-01-20,Portiuncula University Hospital,10,0,10
2023-01-20,Sligo University Hospital,1,4,5
2023-01-20,St Luke's General Hospital Kilkenny,9,6,15
2023-01-20,St. James's Hospital,25,0,25
2023-01-20,St. Vincent's University Hospital,30,0,30
2023-01-20,Tallaght University Hospital,18,0,18
2023-01-20,Tipperary University Hospital,9,0,9
2023-01-20,UH Kerry,8,0,8
2023-01-20,UH Limerick,8,26,34
2023-01-20,UH Waterford,0,0,0
2023-01-20,Wexford General Hospital,4,7,11
2023-01-21,Beaumont Hospital,0,0,0
2023-01-21,CHI at Crumlin,3,0,3
2023-01-21,CHI at Tallaght,0,0,0
2023-01-21,CHI at Temple Street,7,0,7
2023-01-21,Cavan General Hospital,0,0,0
2023-01-21,Connolly Hospital,0,0,0
2023-01-21,Cork University Hospital,14,4,18
2023-01-21,Galway University Hospital,15,4,19
2023-01-21,Letterkenny University Hospital,11,4,15
