week_start,region,ed_trolleys,ward_trolleys,total_trolleys,days_in_week
2024-07-08,HSE Dublin and North East,170,0,170,7
2024-07-08,HSE Dublin and South East,205,38,243,7
2024-07-08,HSE Mid West,196,268,464,7
2024-07-08,HSE South West,290,45,335,7
2024-07-08,HSE West and North West,229,204,433,7
2024-07-15,HSE Dublin and Midlands,329,3,332,7
2024-07-15,HSE Dublin and North East,198,0,198,7
2024-07-15,HSE Dublin and South East,149,22,171,7
2024-07-15,HSE Mid West,154,235,389,7
2024-07-15,HSE South West,256,30,286,7
2024-07-15,HSE West and North West,253,210,463,7
2024-07-22,HSE Dublin and Midlands,368,14,382,7
2024-07-22,HSE Dublin and North East,203,0,203,7
2024-07-22,HSE Dublin and South East,128,36,164,7
2024-07-22,HSE Mid West,112,208,320,7
2024-07-22,HSE South West,270,46,316,7
2024-07-22,HSE West and North West,241,208,449,7
2024-07-29,HSE Dublin and Midlands,325,20,345,7
2024-07-29,HSE Dublin and North East,210,0,210,7
2024-07-29,HSE Dublin and South East,144,40,184,7
2024-07-29,HSE Mid West,118,200,318,7
2024-07-29,HSE South West,140,20,160,7
2024-07-29,HSE West and North West,231,203,434,7
2024-08-05,HSE Dublin and Midlands,315,20,335,7
2024-08-05,HSE Dublin and North East,216,0,216,7
2024-08-05,HSE Dublin and South East,207,19,226,7
2024-08-05,HSE Mid West,130,243,373,7
2024-08-05,HSE South West,213,23,236,7
2024-08-05,HSE West and North West,228,194,422,7
2024-08-12,HSE Dublin and Midlands,291,37,328,7
2024-08-12,HSE Dublin and North East,149,0,149,7
2024-08-12,HSE Dublin and South East,180,8,188,7
2024-08-12,HSE Mid West,37,125,162,7
2024-08-12,HSE South West,188,39,227,7
2024-08-12,HSE West and North West,193,191,384,7
2024-08-19,HSE Dublin and Midlands,228,34,262,7
2024-08-19,HSE Dublin and North East,214,0,214,7
2024-08-19,HSE Dublin and South East,231,20,251,7
2024-08-19,HSE Mid West,0,0,0,7
2024-08-19,HSE South West,158,16,174,7
2024-08-19,HSE West and North West,172,183,355,7
2024-08-26,HSE Dublin and Midlands,308,48,356,7
2024-08-26,HSE Dublin and North East,249,0,249,7
2024-08-26,HSE Dublin and South East,241,18,259,7
2024-08-26,HSE Mid West,6,97,103,7
2024-08-26,HSE South West,168,21,189,7
2024-08-26,HSE West and North West,190,179,369,7
2024-09-02,HSE Dublin and Midlands,258,35,293,7
2024-09-02,HSE Dublin and North East,284,0,284,7
2024-09-02,HSE Dublin and South East,227,37,264,7
2024-09-02,HSE Mid West,13,185,198,7
2024-09-02,HSE South West,181,20,201,7
2024-09-02,HSE West and North West,173,188,361,7
2024-09-09,HSE Dublin and Midlands,208,4,212,7
2024-09-09,HSE Dublin and North East,274,0,274,7
2024-09-09,HSE Dublin and South East,291,48,339,7
2024-09-09,HSE Mid West,40,209,249,7
2024-09-09,HSE South West,289,64,353,7
2024-09-09,HSE West and North West,209,201,410,7
2024-09-16,HSE Dublin and Midlands,331,18,349,7
2024-09-16,HSE Dublin and North East,265,0,265,7
2024-09-16,HSE Dublin and South East,267,56,323,7
2024-09-16,HSE Mid West,97,182,279,7
2024-09-16,HSE South West,286,63,349,7
2024-09-16,HSE West and North West,268,236,504,7
2024-09-23,HSE Dublin and Midlands,303,48,351,7
2024-09-23,HSE Dublin and North East,333,0,333,7
2024-09-23,HSE Dublin and South East,244,53,297,7
2024-09-23,HSE Mid West,101,215,316,7
2024-09-23,HSE South West,272,44,316,7
2024-09-23,HSE West and North West,261,270,531,7
2024-09-30,HSE Dublin and Midlands,359,55,414,7
2024-09-30,HSE Dublin and North East,397,0,397,7
2024-09-30,HSE Dublin and South East,306,45,351,7
2024-09-30,HSE Mid West,132,257,389,7
2024-09-30,HSE South West,317,80,397,7
2024-09-30,HSE West and North West,259,255,512,7
2024-10-07,HSE Dublin and Midlands,374,79,453,7
2024-10-07,HSE Dublin and North East,299,0,299,7
2024-10-07,HSE Dublin and South East,265,61,326,7
2024-10-07,HSE Mid West,129,234,363,7
2024-10-07,HSE South West,217,67,284,7
2024-10-07,HSE West and North West,213,250,459,7
