,Date,Region,Value
345,2023-02-27,HSE Mid West,1.1136423610186437
346,2023-02-27,HSE South West,0.7831339942264122
347,2023-02-27,HSE West and North West,1.4875232343230849
348,2023-02-28,HSE Dublin and Midlands,0.9001159015217526
349,2023-02-28,HSE Dublin and North East,0.45489696583723793
350,2023-02-28,HSE Dublin and South East,0.8032186412629891
351,2023-02-28,HSE Mid West,1.2346904437380617
352,2023-02-28,HSE South West,0.8641478556981099
353,2023-02-28,HSE West and North West,0.9872941820728439
354,2023-03-01,HSE Dublin and Midlands,0.9093954468982656
355,2023-03-01,HSE Dublin and North East,0.4464729479513631
356,2023-03-01,HSE Dublin and South East,0.9576837645827949
357,2023-03-01,HSE Mid West,1.3799481430013631
358,2023-03-01,HSE South West,0.7156224429999972
359,2023-03-01,HSE West and North West,0.9872941820728439
360,2023-03-02,HSE Dublin and Midlands,0.6774068124854427
361,2023-03-02,HSE Dublin and North East,0.3622327690926153
362,2023-03-02,HSE Dublin and South East,0.5560744439513002
363,2023-03-02,HSE Mid West,1.5494154588085478
364,2023-03-02,HSE South West,0.5400924098113187
365,2023-03-02,HSE West and North West,0.9609663372175681
366,2023-03-03,HSE Dublin and Midlands,0.751643175497546
367,2023-03-03,HSE Dublin and North East,0.24429651869036847
368,2023-03-03,HSE Dublin and South East,0.5148837443993521
369,2023-03-03,HSE Mid West,0.9683846617553424
370,2023-03-03,HSE South West,0.6751155122641483
371,2023-03-03,HSE West and North West,0.658196121381896
372,2023-03-04,HSE Dublin and Midlands,0.4546977234491328
373,2023-03-04,HSE Dublin and North East,0.2695685723479928
374,2023-03-04,HSE Dublin and South East,0.33982327130357237
375,2023-03-04,HSE Mid West,0.5326115639654384
376,2023-03-04,HSE South West,0.6886178225094314
377,2023-03-04,HSE West and North West,0.5528847419607926
378,2023-03-05,HSE Dublin and Midlands,0.8537181746391881
379,2023-03-05,HSE Dublin and North East,0.19375241137511984
380,2023-03-05,HSE Dublin and South East,0.494288394623378
381,2023-03-05,HSE Mid West,0.7989173459481574
382,2023-03-05,HSE South West,0.7426270634905632
383,2023-03-05,HSE West and North West,0.7766714232306372
384,2023-03-06,HSE Dublin and Midlands,1.076427263675498
385,2023-03-06,HSE Dublin and North East,0.2779925902338676
386,2023-03-06,HSE Dublin and South East,0.7826232914870151
387,2023-03-06,HSE Mid West,1.1136423610186437
388,2023-03-06,HSE South West,0.9721663376603737
389,2023-03-06,HSE West and North West,1.1189334063492231
390,2023-03-07,HSE Dublin and Midlands,1.197061353570166
391,2023-03-07,HSE Dublin and North East,0.37065678697849014
392,2023-03-07,HSE Dublin and South East,0.5251814192873391
393,2023-03-07,HSE Mid West,0.9925942782992261
394,2023-03-07,HSE South West,1.1882033015849012
395,2023-03-07,HSE West and North West,1.2769004754808781
396,2023-03-08,HSE Dublin and Midlands,1.3176954434648338
397,2023-03-08,HSE Dublin and North East,0.5559851804677352
398,2023-03-08,HSE Dublin and South East,0.5663721188392873
399,2023-03-08,HSE Mid West,1.1378519775625273
